beer_id,beer_name,beer_style,beer_abv,brewery_name,brewery_id
6,Turbodog,English Brown Ale,5.6,Abita Brewing Co.,3
7,Purple Haze,Fruit / Vegetable Beer,4.2,Abita Brewing Co.,3
10,Allagash Dubbel Ale,Dubbel,7,Allagash Brewing Company,4
17,Widmer Hefeweizen,American Pale Wheat Ale,4.9,Widmer Brothers Brewing Company,8
19,Mackeson Triple XXX Stout,Milk / Sweet Stout,4.9,Whitbread PLC,9
30,Trois Pistoles,Belgian Strong Dark Ale,9,Unibroue,22
31,Blanche De Chambly,Witbier,5,Unibroue,22
33,Maudite,Belgian Strong Dark Ale,8,Unibroue,22
34,La Fin Du Monde,Tripel,9,Unibroue,22
36,Traquair House Ale,Scotch Ale / Wee Heavy,7.2,Traquair House Brewery Lld,24
39,Alpha King Pale Ale,American Pale Ale (APA),6,Three Floyds Brewing Co. & Brewpub,26
59,Allagash White,Witbier,5.2,Allagash Brewing Company,4
61,Anchor Porter,American Porter,5.6,Anchor Brewing Company,28
63,Anchor Steam Beer,California Common / Steam Beer,4.9,Anchor Brewing Company,28
65,Budweiser,American Adjunct Lager,5,Anheuser-Busch,29
73,Young's Double Chocolate Stout,Milk / Sweet Stout,5.2,Wells & Young's Ltd,664
74,Post Road Pumpkin Ale,Pumpkin Ale,5,Brooklyn Brewery,45
79,Wee Heavy,Scotch Ale / Wee Heavy,6.5,Belhaven Brewery Company Ltd.,148
87,Stone Pale Ale,American Pale Ale (APA),5.4,Stone Brewing Co.,147
88,Stone IPA (India Pale Ale),American IPA,6.9,Stone Brewing Co.,147
90,Stone Smoked Porter,American Porter,5.9,Stone Brewing Co.,147
92,Arrogant Bastard Ale,American Strong Ale,7.2,Stone Brewing Co.,147
99,Spaten Optimator,Doppelbock,7.6,Spaten-Franziskaner-Bräu,142
100,Blue Moon Harvest Moon Pumpkin Ale,Pumpkin Ale,5.7,Coors Brewing Company,306
101,Samuel Adams Winter Lager,Bock,5.5,Boston Beer Company (Samuel Adams),35
102,Samuel Adams Octoberfest,Märzen / Oktoberfest,5.3,Boston Beer Company (Samuel Adams),35
103,Samuel Adams Summer Ale,American Pale Wheat Ale,5.3,Boston Beer Company (Samuel Adams),35
104,Samuel Adams Boston Lager,Vienna Lager,4.9,Boston Beer Company (Samuel Adams),35
